labels	bSem	bRel	bSil	rep	run
sem_rel_sil	1	1	1	1	1
sem_rel_sil	1	1	1	2	1
sem_rel_sil	1	1	1	3	1
sem_rel_sil	1	1	1	4	1
sem_rel_sil	1	1	1	5	1
sem_rel_sil	1	1	1	6	1
sem_rel_sil	1	1	1	7	1
sem_rel_sil	1	1	1	8	1
sem_scr_sil	1	0	1	1	1
sem_scr_sil	1	0	1	2	1
sem_scr_sil	1	0	1	3	1
sem_scr_sil	1	0	1	4	1
sem_scr_sil	1	0	1	5	1
sem_scr_sil	1	0	1	6	1
sem_scr_sil	1	0	1	7	1
sem_scr_sil	1	0	1	8	1
syn_rel_sil	0	1	1	1	1
syn_rel_sil	0	1	1	2	1
syn_rel_sil	0	1	1	3	1
syn_rel_sil	0	1	1	4	1
syn_rel_sil	0	1	1	5	1
syn_rel_sil	0	1	1	6	1
syn_rel_sil	0	1	1	7	1
syn_rel_sil	0	1	1	8	1
syn_scr_sil	0	0	1	1	1
syn_scr_sil	0	0	1	2	1
syn_scr_sil	0	0	1	3	1
syn_scr_sil	0	0	1	4	1
syn_scr_sil	0	0	1	5	1
syn_scr_sil	0	0	1	6	1
syn_scr_sil	0	0	1	7	1
syn_scr_sil	0	0	1	8	1
sem_rel_alo	1	1	0	1	1
sem_rel_alo	1	1	0	2	1
sem_rel_alo	1	1	0	3	1
sem_rel_alo	1	1	0	4	1
sem_rel_alo	1	1	0	5	1
sem_rel_alo	1	1	0	6	1
sem_rel_alo	1	1	0	7	1
sem_rel_alo	1	1	0	8	1
sem_scr_alo	1	0	0	1	1
sem_scr_alo	1	0	0	2	1
sem_scr_alo	1	0	0	3	1
sem_scr_alo	1	0	0	4	1
sem_scr_alo	1	0	0	5	1
sem_scr_alo	1	0	0	6	1
sem_scr_alo	1	0	0	7	1
sem_scr_alo	1	0	0	8	1
syn_rel_alo	0	1	0	1	1
syn_rel_alo	0	1	0	2	1
syn_rel_alo	0	1	0	3	1
syn_rel_alo	0	1	0	4	1
syn_rel_alo	0	1	0	5	1
syn_rel_alo	0	1	0	6	1
syn_rel_alo	0	1	0	7	1
syn_rel_alo	0	1	0	8	1
syn_scr_alo	0	0	0	1	1
syn_scr_alo	0	0	0	2	1
syn_scr_alo	0	0	0	3	1
syn_scr_alo	0	0	0	4	1
syn_scr_alo	0	0	0	5	1
syn_scr_alo	0	0	0	6	1
syn_scr_alo	0	0	0	7	1
syn_scr_alo	0	0	0	8	1
sem_rel_sil	1	1	1	1	2
sem_rel_sil	1	1	1	2	2
sem_rel_sil	1	1	1	3	2
sem_rel_sil	1	1	1	4	2
sem_rel_sil	1	1	1	5	2
sem_rel_sil	1	1	1	6	2
sem_rel_sil	1	1	1	7	2
