labels	bSem	bRel	bSil	rep
sem_rel_sil	1	1	1	1
sem_rel_sil	1	1	1	2
sem_rel_sil	1	1	1	3
sem_rel_sil	1	1	1	4
sem_rel_sil	1	1	1	5
sem_rel_sil	1	1	1	6
sem_rel_sil	1	1	1	7
sem_rel_sil	1	1	1	8
sem_scr_sil	1	0	1	1
sem_scr_sil	1	0	1	2
sem_scr_sil	1	0	1	3
sem_scr_sil	1	0	1	4
sem_scr_sil	1	0	1	5
sem_scr_sil	1	0	1	6
sem_scr_sil	1	0	1	7
sem_scr_sil	1	0	1	8
syn_rel_sil	0	1	1	1
syn_rel_sil	0	1	1	2
syn_rel_sil	0	1	1	3
syn_rel_sil	0	1	1	4
syn_rel_sil	0	1	1	5
syn_rel_sil	0	1	1	6
syn_rel_sil	0	1	1	7
syn_rel_sil	0	1	1	8
syn_scr_sil	0	0	1	1
syn_scr_sil	0	0	1	2
syn_scr_sil	0	0	1	3
syn_scr_sil	0	0	1	4
syn_scr_sil	0	0	1	5
syn_scr_sil	0	0	1	6
syn_scr_sil	0	0	1	7
syn_scr_sil	0	0	1	8
sem_rel_alo	1	1	0	1
sem_rel_alo	1	1	0	2
sem_rel_alo	1	1	0	3
sem_rel_alo	1	1	0	4
sem_rel_alo	1	1	0	5
sem_rel_alo	1	1	0	6
sem_rel_alo	1	1	0	7
sem_rel_alo	1	1	0	8
sem_scr_alo	1	0	0	1
sem_scr_alo	1	0	0	2
sem_scr_alo	1	0	0	3
sem_scr_alo	1	0	0	4
sem_scr_alo	1	0	0	5
sem_scr_alo	1	0	0	6
sem_scr_alo	1	0	0	7
sem_scr_alo	1	0	0	8
syn_rel_alo	0	1	0	1
syn_rel_alo	0	1	0	2
syn_rel_alo	0	1	0	3
syn_rel_alo	0	1	0	4
syn_rel_alo	0	1	0	5
syn_rel_alo	0	1	0	6
syn_rel_alo	0	1	0	7
syn_rel_alo	0	1	0	8
syn_scr_alo	0	0	0	1
syn_scr_alo	0	0	0	2
syn_scr_alo	0	0	0	3
syn_scr_alo	0	0	0	4
syn_scr_alo	0	0	0	5
syn_scr_alo	0	0	0	6
syn_scr_alo	0	0	0	7
syn_scr_alo	0	0	0	8
